name,label,spall_strength,UTS,yield_strength,bulk_modulus,youngs_modulus,density,hardness,fracture_toughness
Silver,Ag,1.23,159,70,101,75,10.5,25,73
Aluminum,Al,1.12,94,58,73,70,2.7,15,30
Aluminum [100],Al (100),1.02,35,17,71,44,2.7,14,0
Aluminum [111],Al (111),1.17,74,18,83,70,2.7,15,0
Aluminum 1060-O,Al 1060-O,1.19,69,28,74,71,2.7,22,10
Aluminum 1100-O,Al 1100-O,1.35,90,35,78,69,2.7,23,11
Aluminum 2014-T6,Al 2014-T6,1.62,483,414,72,73,2.8,155,19
Aluminum 2024-T4,Al 2024-T4,1.19,469,324,68,73,2.8,137,32
Aluminum 2024-T81,Al 2024-T81,0.6,492,454,72,72,2.8,146,27
Aluminum 2024-T86,Al 2024-T86,1.9,499,444,74,73,2.8,155,28
Aluminum 2139-T8,Al 2139-T8,1.45,505,487,78,73,2.8,170,46
Aluminum 5083-H116,Al 5083-H116,0.89,290,207,72,72,2.7,88,49
Aluminum 6061-T6,Al 6061-T6,1.3,310,276,75,72,2.7,107,29
Aluminum 7075-T6,Al 7075-T6,1.6,572,503,70,72,2.8,175,25
Gold,Au,2.03,137,34,169,78,19.1,22,90
Beryllium,Be,0.9,370,240,114,295,1.8,170,11
Be S200F,Be S200F,0.59,324,241,162,303,1.9,175,11
Cerium,Ce,0.4,102,91,22,36,6.7,24,55
Cobalt,Co,3.2,675,225,193,210,8.8,253,135
Cobalt Haynes 25 (L605),Co L-605,2,977,460,188,236,9.1,260,135
CoCrFeNi,CoCrFeNi,3.19,413,147,169,219,8.2,135,25
Chromium,Cr,0.65,760,370,168,285,7.2,90,135
CrCoNi,CrCoNi,3.97,1090,930,207,222,8.3,136,132
CrMnFeCoNi,CrMnFeCoNi,2.12,600,265,144,203,7.9,212,135
Copper OFHC,Cu,1.7,223,66,140,125,8.9,50,70
Cu-1Pb,Cu-1Pb,0.79,220,76,136,127,8.9,50,69
Cu-24Ag,Cu-24Ag,1.42,207,67,136,124,9.1,99,71
Cu-15Nb,Cu-15Nb,1.77,223,69,143,108,8.9,130,70
GRCop-84,GRCop,2.9,445,236,140,119,8.7,132,65
Brass 60-40,Brass,1.4,510,379,107,103,8.4,42,49
Beryllium Bronze,Beryllium Bronze,2.48,500,190,143,127,8.4,52,69
Copper Tantalum,Cu-10Ta,0.36,226,70,147,131,9.3,55,75
Al(0.1)CoCrFeNi,$\mathrm{Al_{0.1}}$CoCrFeNi,3.69,531,199,172,211,8.1,140,135
FeCrNiMn,FeCrNiMn,1.52,513,229,118,202,7.7,201,135
Iron,Fe,1.84,345,152,167,211,7.9,150,145
Fe40Mn20Cr20Ni20,$\mathrm{Fe_{40}Mn_{20}Cr_{20}Ni_{20}}$,2.28,694,306,133,195,7.9,150,137
Fe50Mn30Co10Cr10,$\mathrm{Fe_{50}Mn_{30}Co_{10}Cr_{10}}$,2.1,763,410,144,202,6.7,259,217
1018 CRS ,AISI 1018,1.71,458,323,163,273,7.8,131,43
Steel 1020,AISI 1020,2.05,450,285,148,186,7.9,149,95
Steel 1045,AISI 1045,4.07,595,530,159,200,7.9,188,50
Steel 4340 Rc52,AISI 4340,5.3,1958,950,159,210,7.8,360,50
A36,ASTM A36,1.96,475,250,163,238,7.8,131,147
24CrNiMo Steel,CrNiMo steel,4.09,1146,952,161,212,7.8,376,68
AF9628 Steel,AF-9628,5.5,1728,1320,165,208,7.8,490,129
Dual Phase Steel 590,DP-590,2.95,602,394,195,228,7.8,127,180
Duplex SS 2205,Duplex 2205,4.9,621,460,161,195,7.8,310,170
Lean Duplex SS 2101,LDX 2101,2.6,694,480,167,200,7.7,306,100
SS 304,SS 304,2.32,510,228,151,193,7.9,129,174
SS 316L,SS 316-L,2.58,515,222,162,196,8,155,195
SS 2169,SS 2169,5.77,717,376,153,198,7.8,180,310
Magnesium,Mg,0.85,133,21,49,44,1.7,38,13
AMX 602,Mg AMX-602,1.01,369,305,34,47,1.8,103,40
Magnesium AZ31B-H24,Mg AZ31B-H24,1.5,170,220,37,44,1.8,70,12
Magnesium AZ31B-4E,Mg AZ31B-4E,0.9,241,152,38,44,1.8,49,19
Molybdenum,Mo,0.55,352,446,272,337,10.2,230,30
Niobium,Nb,3.92,284,349,169,103,8.6,80,46
Nickel,Ni,0.5,345,69,194,202,8.9,65,125
AlCoCrFeNi(2.1),AlCoCrFe$\mathrm{Ni_{2.1}}$,3.35,1165,750,169,185,7.4,34,112
Ni3Al,$\mathrm{Ni_{3}Al}$,0.44,842,188,181,203,7.4,382,28
Ni-60Co,Ni-60Co,0.69,543,162,187,213,8.8,178,131
Inconel625,Inconel 625,3.7,919,471,220,196,8.4,525,174
Ni 55 Ti 44,NiTi,2.71,307,422,159,63,6.5,63,91
Tantalum,Ta,4.77,258,103,205,186,16.5,100,120
Titanium,Ti,3.6,268,144,111,105,4.5,60,58
gamma TiAl,$\gamma$-Ti64,1.77,1193,1011,126,172,4,431,15
Ti-10V-2Fe-3Al,Ti-1023,3.12,1307,1190,107,94,4.6,450,47
Ti-6Al-4V,Ti-6Al-4V,4.2,1004,812,107,121,4.5,340,48
Uranium,U,2.4,400,228,92,184,19,190,130
Vanadium,V,4.4,440,411,163,147,6.1,159,37
Tungsten,W,1.1,1325,750,311,406,19.3,310,135
Tungsten heavy alloy (WHA),WHA,3.63,1036,928,283,353,17.8,310,41
90W-7Ni-3Fe,$\mathrm{W_{90}Ni_{7}Fe_{3}}$,3.8,888,600,440,328,17.1,261,97
ZrE110,Zr E110,3.12,290,160,99,95,6.6,1600,4